"","gender","splF","age","experience","gradeF","placementF"
"1","F","Marketing",29,2,"B","N"
"2","M","Marketing",25,3,"D","Y"
"3","F","Marketing",13,2,"A","N"
"4","F","Finance",26,4,"B","N"
"5","M","Marketing",38,3,"C","N"
"6","M","HR",30,0,"D","N"
"7","M","Marketing",23,4,"B","N"
"8","F","Marketing",37,4,"A","N"
"9","M","Marketing",19,3,"D","N"
"10","F","Marketing",24,1,"C","N"
"11","M","Marketing",35,2,"D","N"
"12","M","HR",23,2,"B","N"
"13","F","Marketing",35,3,"A","N"
"14","F","Finance",27,1,"C","N"
"15","M","Finance",12,2,"B","N"
"16","F","HR",34,3,"D","N"
"17","M","Finance",22,2,"A","N"
"18","F","Finance",23,4,"B","N"
"19","M","Finance",33,2,"A","N"
"20","M","Marketing",32,4,"B","N"
"21","M","Marketing",42,3,"D","N"
"22","M","Finance",50,2,"C","N"
"23","M","HR",38,2,"D","N"
"24","M","Finance",37,3,"C","N"
"25","M","Marketing",24,2,"A","Y"
"26","M","Marketing",22,2,"D","N"
"27","M","HR",24,4,"A","N"
"28","F","HR",29,1,"A","N"
"29","F","Marketing",27,1,"D","N"
"30","M","HR",38,2,"C","N"
"31","M","Marketing",41,3,"C","N"
"32","F","Marketing",40,2,"C","N"
"33","F","Marketing",43,4,"B","N"
"34","M","Marketing",42,3,"B","N"
"35","F","Marketing",33,4,"C","N"
"36","M","HR",30,4,"C","N"
"37","M","Marketing",17,2,"D","N"
"38","M","Marketing",18,2,"A","N"
"39","F","Marketing",23,1,"A","N"
"40","M","Marketing",25,2,"D","Y"
"41","F","Marketing",27,4,"A","N"
"42","F","Marketing",22,2,"C","N"
"43","M","HR",24,2,"B","N"
"44","F","Marketing",26,2,"D","N"
"45","M","Marketing",25,3,"C","N"
"46","F","Finance",40,2,"B","N"
"47","M","Marketing",40,3,"A","N"
"48","M","Marketing",33,1,"B","Y"
"49","M","Marketing",55,2,"B","N"
"50","M","Finance",35,2,"A","N"
"51","M","Marketing",23,4,"D","N"
"52","M","Finance",38,2,"B","N"
"53","M","Marketing",31,1,"D","Y"
"54","M","HR",15,3,"D","N"
"55","M","Finance",41,2,"D","N"
"56","M","HR",25,3,"A","N"
"57","M","Finance",40,1,"A","N"
"58","F","Finance",19,1,"A","Y"
"59","F","Marketing",38,3,"B","N"
"60","M","Finance",30,2,"A","Y"
"61","M","Marketing",44,1,"A","N"
"62","M","Finance",39,2,"A","N"
"63","F","Marketing",9,2,"A","N"
"64","F","HR",28,4,"D","N"
"65","F","HR",40,1,"A","N"
"66","F","Finance",47,1,"B","N"
"67","M","Marketing",31,1,"C","N"
"68","M","HR",40,4,"B","N"
"69","M","Marketing",41,2,"C","N"
"70","M","Marketing",10,3,"B","N"
"71","F","HR",24,1,"C","N"
"72","M","Marketing",30,3,"B","N"
"73","F","Finance",31,5,"D","N"
"74","F","HR",42,1,"A","N"
"75","F","HR",26,3,"C","N"
"76","F","HR",28,4,"B","N"
"77","F","Marketing",27,3,"A","N"
"78","F","Marketing",20,2,"C","N"
"79","M","Marketing",23,2,"A","N"
"80","M","HR",24,3,"C","Y"
"81","M","Marketing",31,2,"D","Y"
"82","M","HR",24,4,"D","N"
"83","M","Marketing",34,2,"D","N"
"84","F","Marketing",18,1,"D","N"
"85","M","Marketing",35,1,"C","N"
"86","F","Marketing",23,2,"D","N"
"87","M","Marketing",25,4,"C","N"
"88","F","Marketing",29,2,"A","Y"
"89","M","Finance",18,3,"A","N"
"90","M","Marketing",23,4,"B","Y"
"91","F","Finance",20,3,"D","N"
"92","M","Marketing",8,2,"A","N"
"93","F","HR",9,2,"A","N"
"94","F","HR",31,2,"C","N"
"95","M","HR",25,3,"B","N"
"96","M","Marketing",24,1,"B","N"
"97","M","Marketing",33,3,"C","N"
"98","M","Marketing",40,4,"B","N"
"99","M","Marketing",19,3,"D","N"
"100","F","HR",12,1,"D","N"
